Trait,CHR,pStart,pEnd,Gene,pval_fastKAST,pval_skat
blood_rbc_distrib_width,21,35091885,35253882,ITSN1,1e-14,2.62326347802829e-13
blood_rbc_distrib_width,22,28378384,29056152,TTC28,5.5899561202110704e-08,9.78824926980775e-10
blood_rbc_distrib_width,22,37453256,37455874,KCTD17,1e-14,3.03006062508952e-11
blood_rbc_distrib_width,22,37462813,37499565,TMPRSS6,1e-14,2.1497869023903397e-28
blood_rbc_distrib_width,3,48680470,48697654,CELSR3,1e-14,5.1855136446570494e-11
blood_rbc_distrib_width,3,132158769,132256930,DNAJC13,1e-14,1.7671338772749298e-12
blood_rbc_distrib_width,3,142171595,142294634,ATR,1e-14,8.603560838087459e-13
blood_rbc_distrib_width,3,171331722,171431912,PLD1,1e-14,1.1523857620383202e-09
blood_rbc_distrib_width,3,195591056,195620808,TNK2,1e-14,2.0048894585848e-15
blood_rbc_distrib_width,3,195926387,195936702,ZDHHC19,1.8725866968161146e-08,5.15931326550145e-08
blood_rbc_distrib_width,5,868846,889327,BRD9,3.822077665471824e-08,2.31377822457191e-08
blood_rbc_distrib_width,5,1010108,1036962,NKD2,1e-14,2.30084766549393e-50
blood_rbc_distrib_width,5,1053038,1103376,SLC12A7,1e-14,3.4497003105548597e-77
blood_rbc_distrib_width,5,127423013,127499642,SLC12A2,1e-14,1.18224716225317e-41
blood_rbc_distrib_width,5,127609633,127873114,FBN2,1e-14,1.20349944063439e-36
blood_rbc_distrib_width,5,150563302,150596936,CCDC69,6.272760089132134e-14,3.04450222368241e-21
blood_rbc_distrib_width,5,153429459,153432970,MFAP3,2.453592884421596e-13,2.44008002333508e-13
blood_rbc_distrib_width,6,24808548,24873726,FAM65B,1e-14,2.44703057227598e-13
blood_rbc_distrib_width,6,25293399,25619463,LRRC16A,1e-14,4.1638675377085e-32
blood_rbc_distrib_width,6,25655059,25684405,SCGN,1e-14,1.57188591271339e-10
blood_rbc_distrib_width,6,25812069,25826119,SLC17A1,1e-14,3.98545115718035e-16
blood_rbc_distrib_width,6,25850845,25864898,SLC17A3,1e-14,4.33266448821952e-85
blood_rbc_distrib_width,6,25974204,25983010,TRIM38,1e-14,2.4895261680281104e-15
blood_rbc_distrib_width,6,26367218,26374549,BTN3A2,1e-14,9.64867631485001e-25
blood_rbc_distrib_width,6,26501897,26509382,BTN1A1,1e-14,2.49008641297175e-22
blood_rbc_distrib_width,6,29141743,29142347,OR2J2,1e-14,5.75456888284432e-38
blood_rbc_distrib_width,6,29323076,29323838,OR5V1,1e-14,1.4816590269060702e-20
blood_rbc_distrib_width,6,29364643,29364835,OR12D2,1e-14,3.02231513034621e-45
blood_rbc_distrib_width,6,30131503,30139699,TRIM15,1e-14,9.16225639992592e-10
blood_rbc_distrib_width,6,30154049,30166266,TRIM26,1e-14,1.89591223771264e-13
blood_rbc_distrib_width,6,30516353,30519258,GNL1,1e-14,1.42857003656374e-39
blood_rbc_distrib_width,6,30540890,30553871,ABCF1,1e-14,4.3818816505963395e-28
blood_rbc_distrib_width,6,31237257,31238716,HLA-C,6.144751374392854e-12,8.47946437509961e-08
blood_rbc_distrib_width,6,31513402,31514247,ATP6V1G2,1e-14,6.31111484425759e-37
blood_rbc_distrib_width,6,31674944,31678073,LY6G6F,8.828049402609395e-12,1.12578399623918e-12
blood_rbc_distrib_width,6,31736065,31741659,C6orf27,1e-14,4.24794956987995e-08
blood_rbc_distrib_width,6,31850332,31864674,EHMT2,1e-14,2.06587178238688e-13
blood_rbc_distrib_width,6,31868765,31912523,ZBTB12,9.287793867329696e-10,9.62944121220423e-14
blood_rbc_distrib_width,6,31928148,31937037,SKIV2L,2.1198931499100127e-11,3.4036716978975803e-10
blood_rbc_distrib_width,6,31937762,31939345,DOM3Z,9.48339629047723e-09,6.46245650326449e-08
blood_rbc_distrib_width,6,32085278,32093922,ATF6B,1.156630347054488e-12,1.89889807350448e-14
blood_rbc_distrib_width,6,32121659,32130329,PPT2,1e-14,2.9006820201403603e-14
blood_rbc_distrib_width,6,32149883,32151934,AGER,1e-14,6.72215624236202e-13
blood_rbc_distrib_width,6,32163274,32191457,NOTCH4,1e-14,7.37602188600287e-12
blood_rbc_distrib_width,6,32261507,32339076,C6orf10,1e-14,2.3442550362947803e-09
blood_rbc_distrib_width,6,32822186,32826450,PSMB9,1e-14,1.54742481725447e-16
blood_rbc_distrib_width,6,33045558,33053942,HLA-DPB1,6.93409691887581e-08,9.89270187989888e-09
blood_rbc_distrib_width,6,109727046,109760259,PPIL6,1e-14,1.80393218161997e-16
blood_rbc_distrib_width,6,109788801,109802651,ZBTB24,2.0224044661176777e-11,1.84400646032667e-11
blood_rbc_distrib_width,6,109814941,109964827,AKD1,1e-14,2.42116139664865e-15
blood_rbc_distrib_width,6,110014882,110126393,FIG4,1e-14,3.64618507198793e-12
blood_rbc_distrib_width,6,135239758,135254292,ALDH8A1,1e-14,1.38500959826036e-12
blood_rbc_distrib_width,6,135296684,135371329,HBS1L,1e-14,9.78373501218456e-32
blood_rbc_distrib_width,6,135506442,135539103,MYB,1e-14,5.19276745493181e-14
blood_rbc_distrib_width,7,32548290,32622901,AVL9,2.2648549702353197e-14,6.39296911290377e-14
blood_rbc_distrib_width,7,33057508,33095443,NT5C3,1e-14,3.71081314554424e-13
blood_rbc_distrib_width,7,33186737,33641367,BBS9,1e-14,1.9283215537580101e-19
blood_rbc_distrib_width,7,99692163,99695026,MCM7,1.0734599098505272e-08,4.46298105138965e-08
blood_rbc_distrib_width,7,100218631,100227188,TFR2,1e-14,2.57987328103785e-23
blood_rbc_distrib_width,8,9913362,10277269,MSRA,1e-14,6.31279160808913e-14
blood_rbc_distrib_width,8,10623771,10696515,PINX1,7.704947790898586e-14,5.987307205579381e-09
blood_rbc_distrib_width,8,10761287,11054397,XKR6,1e-14,5.06364120545696e-11
blood_rbc_distrib_width,8,11702840,11710888,CTSB,5.953837423078312e-11,5.78382552962609e-08
blood_rbc_distrib_width,8,19805708,19822741,LPL,1e-14,2.80005149439073e-31
blood_rbc_distrib_width,8,26162883,26225914,PPP2R2A,1e-14,1.56228812413682e-11
blood_rbc_distrib_width,8,41519248,41743589,ANK1,3.819389249315464e-12,1.43598117090997e-13
blood_rbc_distrib_width,8,98659990,98728251,MTDH,1e-14,7.527701187108869e-11
blood_rbc_distrib_width,9,131877248,131909736,PPP2R4,1e-14,3.68582410657142e-15
blood_rbc_distrib_width,9,136287582,136323845,ADAMTS13,5.50440026891863e-10,9.93456618288328e-17
blood_reticulocyte,1,3736850,3765758,CEP104,1e-14,1.50154386521514e-12
blood_reticulocyte,1,22012208,22108543,USP48,1e-14,8.79512530535883e-12
blood_reticulocyte,1,158450238,158450382,OR10R2,1e-14,3.47891048398005e-08
blood_reticulocyte,1,158549421,158549511,OR10X1,1e-14,3.38363854026206e-08
blood_reticulocyte,1,158584091,158653509,SPTA1,1e-14,3.66696187485875e-63
blood_reticulocyte,1,247584591,247610829,NLRP3,6.930770402036045e-10,4.65594526019463e-10
blood_reticulocyte,1,248021765,248039713,TRIM58,1e-14,4.0025959128327603e-85
blood_reticulocyte,10,24873369,25006547,ARHGAP21,1.5229373317993122e-11,3.51044980283233e-16
blood_reticulocyte,10,25139850,25241502,PRTFDC1,1e-14,7.45751170048121e-22
blood_reticulocyte,10,25281589,25304609,ENKUR,1.3985479441203097e-12,4.09617362251424e-08
blood_reticulocyte,10,45953767,46024729,MARCH8,1e-14,3.69367607241518e-15
blood_reticulocyte,10,46111895,46157099,ANUBL1,1e-14,1.47599208586961e-11
blood_reticulocyte,10,65315397,65378695,REEP3,9.414691248821329e-14,4.6360355117096295e-11
blood_reticulocyte,10,71054102,71160699,HK1,1e-14,2.34108693349869e-12
blood_reticulocyte,10,104019489,104140350,GBF1,8.935096595941162e-08,9.26516980205874e-10
blood_reticulocyte,10,104633524,104653717,AS3MT,1e-14,5.19022982660448e-10
blood_reticulocyte,10,104698571,104836853,CNNM2,1e-14,1.48140976640997e-18
blood_reticulocyte,10,104850155,104934709,NT5C2,1e-14,1.1266726087886e-09
blood_reticulocyte,10,105038008,105048217,INA,6.891046400170353e-09,6.945165234790211e-10
blood_reticulocyte,12,111490653,111785515,CUX2,1e-14,5.26514438738823e-17
blood_reticulocyte,12,111911494,112015380,ATXN2,1e-14,9.372134800712129e-13
blood_reticulocyte,12,112182876,112189001,ACAD10,1e-14,2.41986703090748e-25
blood_reticulocyte,12,112869780,112935344,PTPN11,1e-14,6.42467558479428e-69
blood_reticulocyte,12,121416864,121438844,HNF1A,2.7698066062953327e-11,3.28674261140804e-08
blood_reticulocyte,14,65383689,65555251,CHURC1,3.395062009303729e-13,2.5063026909620496e-11
blood_reticulocyte,14,94844843,94849201,SERPINA1,1.0903991043420547e-09,2.78960015558817e-16
blood_reticulocyte,14,104027557,104028270,BAG5,1e-14,5.3115316509334e-20
blood_reticulocyte,14,104035519,104041768,C14orf153,2.9045172933450662e-09,4.34702980278701e-08
blood_reticulocyte,15,78559937,78567384,DNAJA4,1e-14,1.00178197058154e-11
blood_reticulocyte,16,240338,276549,LUC7L,1e-14,3.12952717074211e-08
blood_reticulocyte,16,88520070,88601360,ZFPM1,7.829292769656604e-13,2.27049112165894e-11
blood_reticulocyte,17,33875688,33884804,SLFN14,1e-14,3.10680786555014e-38
blood_reticulocyte,17,33921338,34046034,AP2B1,1e-14,1.76062579061811e-17
blood_reticulocyte,17,40025453,40065774,ACLY,2.0816681711721685e-13,2.6026977113973e-10
blood_reticulocyte,17,43516738,43555253,PLEKHM1,1e-14,2.24731552597753e-20
blood_reticulocyte,17,74313086,74336545,PRPSAP1,4.801353981065404e-09,3.38685357537116e-08
blood_reticulocyte,19,932902,971082,ARID3A,1.5974999101331377e-12,9.676328312352911e-15
blood_reticulocyte,19,10686123,10694720,AP1M2,1e-14,2.97107395332283e-09
blood_reticulocyte,19,10723572,10752352,SLC44A2,1e-14,5.72813641265354e-14
blood_reticulocyte,19,10830281,10920315,DNM2,1e-14,3.40394254661879e-10
blood_reticulocyte,19,11284028,11304404,KANK2,1e-14,2.5382016116278798e-166
blood_reticulocyte,19,45410002,45412079,APOE,1e-14,1.17107031322158e-36
blood_reticulocyte,19,46179110,46182304,GIPR,4.479105975008224e-11,4.8870428102277e-11
blood_reticulocyte,2,23790221,23926659,KLHL29,1e-14,1.17226362524878e-09
blood_reticulocyte,2,23980698,24148020,ATAD2B,1e-14,1.24756654634645e-20
blood_reticulocyte,2,24188922,24218644,UBXN2A,1e-14,8.877697759316819e-11
blood_reticulocyte,2,24242812,24244603,MFSD2B,1e-14,1.22198898291097e-23
blood_reticulocyte,2,24290671,24298486,SF3B14,1e-14,3.35921155582549e-24
blood_reticulocyte,2,220156103,220171765,PTPRN,3.071543019927958e-12,7.827343714082891e-24
blood_reticulocyte,20,4157136,4167234,SMOX,1e-14,8.53314774662494e-22
blood_reticulocyte,20,4203114,4225920,ADRA1D,1e-14,6.783017763617969e-30
blood_reticulocyte,20,57594684,57599402,TUBB1,1e-14,8.89130134176854e-17
blood_reticulocyte,21,30458754,30543799,C21orf7,1.0669502725768611e-08,7.1832540157396e-09
blood_reticulocyte,3,47651536,47821025,SMARCC1,1e-14,9.201024722321492e-17
blood_reticulocyte,3,47895705,48040283,MAP4,1e-14,1.8461003363156102e-31
blood_reticulocyte,3,48205625,48229366,CDC25A,1e-14,2.2171168125038505e-14
blood_reticulocyte,3,48414274,48422235,FBXW12,1e-14,7.48206865465576e-25
blood_reticulocyte,3,48586697,48593672,PFKFB4,3.7206004943612925e-10,1.10759753873128e-09
blood_reticulocyte,3,48616291,48628014,COL7A1,1e-14,4.4008568174065e-20
blood_reticulocyte,3,48716075,48719453,NCKIPSD,1e-14,5.0076545622897e-16
blood_reticulocyte,3,48965078,49019488,ARIH2,1e-14,9.12036832338643e-28
blood_reticulocyte,3,49067904,49089437,QRICH1,1e-14,2.60962375611952e-17
blood_reticulocyte,3,49276196,49294250,CCDC36,1e-14,5.50162888161941e-10
blood_reticulocyte,3,49326178,49372852,USP4,1e-14,2.5325664591855697e-33
blood_reticulocyte,3,49597055,49701983,BSN,1e-14,1.31964181462805e-29
blood_reticulocyte,3,49737954,49749976,RNF123,1e-14,2.0145155705872905e-23
blood_reticulocyte,3,49768927,49771943,IP6K1,1e-14,6.78849237296286e-25
blood_reticulocyte,3,49928614,49940078,MST1R,1e-14,2.78893350384089e-13
blood_reticulocyte,3,50005916,50112998,RBM6,1e-14,4.91362230029319e-53
blood_reticulocyte,3,50282876,50289853,GNAI2,1e-14,8.70069581383159e-18
blood_reticulocyte,3,50408329,50519490,CACNA2D2,1e-14,2.52626147453139e-26
blood_reticulocyte,3,50659586,50684811,MAPKAPK3,1e-14,1.88916287316903e-09
blood_reticulocyte,3,50721022,51410485,DOCK3,1e-14,7.916131725321188e-56
blood_reticulocyte,3,51626449,51690400,RAD54L2,1e-14,2.05854693099983e-17
blood_reticulocyte,3,52011029,52014486,ABHD14A,3.2356339829675562e-12,7.95543370542688e-13
blood_reticulocyte,3,52120968,52170862,POC1A,1.4832579608992093e-12,3.0343200652799496e-11
blood_reticulocyte,3,52532118,52558008,STAB1,1e-14,1.23845105499417e-10
blood_reticulocyte,3,52584787,52709810,PBRM1,1e-14,7.41332484834084e-14
blood_reticulocyte,3,52756045,52795973,NEK4,1e-14,1.58209772501867e-24
blood_reticulocyte,3,52833805,52836533,ITIH3,1e-14,9.16514350201684e-12
blood_reticulocyte,3,52868445,52920440,MUSTN1,1.1041689784718756e-10,9.50689569194998e-09
blood_reticulocyte,3,53131277,53160243,RFT1,1e-14,8.11561036435512e-10
blood_reticulocyte,4,144507710,144619314,FREM3,1e-14,1.20344805989828e-13
blood_reticulocyte,4,145041577,145057120,GYPA,1e-14,3.23249213349913e-08
blood_reticulocyte,5,52095943,52246131,ITGA1,1e-14,1.04295567218975e-58
blood_reticulocyte,5,75700993,75997063,IQGAP2,6.24024831807901e-10,8.21465131468578e-26
blood_reticulocyte,5,76115172,76117836,F2RL1,5.920892665045584e-10,4.5169163854744e-12
blood_reticulocyte,5,154320820,154346296,MRPL22,4.108269280322929e-12,7.63105162995996e-13
blood_reticulocyte,6,29141743,29142347,OR2J2,8.9954499404854e-10,2.65535406995809e-08
blood_reticulocyte,6,29640951,29644502,ZFP57,1e-14,9.0711957494899e-16
blood_reticulocyte,6,30121605,30128222,TRIM10,1e-14,4.30367448471505e-36
blood_reticulocyte,6,30131503,30139699,TRIM15,1e-14,7.653000934675299e-50
blood_reticulocyte,6,30154049,30166266,TRIM26,1e-14,1.65135076729881e-29
blood_reticulocyte,6,30540890,30553871,ABCF1,9.027363068181417e-08,3.7870289776894597e-11
blood_reticulocyte,6,30599702,30601067,ATAT1,1.7807470387154467e-08,4.01387495463368e-08
blood_reticulocyte,6,31098832,31107648,PSORS1C1,3.6859404417555203e-14,1.95360376322748e-11
blood_reticulocyte,6,31513402,31514247,ATP6V1G2,1e-14,4.10755001421107e-23
blood_reticulocyte,6,31583224,31583931,AIF1,1e-14,8.5863738294333e-12
blood_reticulocyte,6,31591808,31605199,PRRC2A,1e-14,3.24214441366765e-10
blood_reticulocyte,6,31920687,31925848,RDBP,1e-14,4.46537110361466e-14
blood_reticulocyte,6,32085278,32093922,ATF6B,4.135143738537295e-08,3.56550748925599e-08
blood_reticulocyte,6,32163274,32191457,NOTCH4,1e-14,1.23955611611934e-11
blood_reticulocyte,6,32261507,32339076,C6orf10,1e-14,2.63669103091958e-18
blood_reticulocyte,6,32605326,32609813,HLA-DQA1,1e-14,7.0911146470514e-11
blood_reticulocyte,7,6051283,6062747,AIMP2,3.5305092183079984e-14,1.4264918447108e-11
blood_reticulocyte,7,72864869,72934080,BAZ1B,1e-14,5.02733592122618e-08
blood_reticulocyte,7,99077236,99085103,ZNF789,1.5343282200319666e-13,1.01268073371759e-12
blood_reticulocyte,7,99250475,99272310,CYP3A5,4.39737135593532e-12,1.75648525017036e-10
blood_reticulocyte,8,41519248,41743589,ANK1,1e-14,1.84705860058099e-38
blood_wbc_count,1,161677350,161680518,FCRLA,6.010597253247596e-08,1.34467859069787e-09
blood_wbc_count,1,198613504,198714895,PTPRC,1e-14,3.6618842418742896e-12
blood_wbc_count,1,224415342,224517064,NVL,1.8540724511240114e-14,7.6887269226385e-08
blood_wbc_count,11,108346177,108368145,KDELC2,1.9981613919028973e-08,4.15870782255467e-08
blood_wbc_count,11,118311869,118392566,MLL,4.296548561377733e-09,5.3726218689196205e-09
blood_wbc_count,12,111490653,111785515,CUX2,1e-14,6.319808439401441e-15
blood_wbc_count,12,111911494,112015380,ATXN2,1.8207657603852567e-14,1.06411410321577e-10
blood_wbc_count,12,112091244,112111717,BRAP,3.4562996908960026e-10,1.01356780446749e-10
blood_wbc_count,12,112182876,112189001,ACAD10,2.1649348980190556e-14,2.29694928597401e-13
blood_wbc_count,12,112471716,112545374,NAA25,8.860689959533374e-13,3.45415920810505e-14
blood_wbc_count,12,112869780,112935344,PTPN11,1e-14,5.492343167247339e-30
blood_wbc_count,13,28580587,28671088,FLT3,1e-14,1.06272503523905e-18
blood_wbc_count,15,64466574,64580583,CSNK1G1,2.0583534876550402e-13,4.39723292206323e-13
blood_wbc_count,17,37785622,37792096,PPP1R1B,4.657781937922323e-10,4.62454398827176e-10
blood_wbc_count,17,37939398,38013360,IKZF3,1e-14,2.1278413146865e-17
blood_wbc_count,17,38121993,38131187,GSDMA,1e-14,8.684775335265569e-179
blood_wbc_count,17,38231853,38250782,THRA,1e-14,2.2996855553269906e-21
blood_wbc_count,17,38344485,38348353,RAPGEFL1,1e-14,8.88824622791162e-08
blood_wbc_count,17,38638203,38650414,TNS4,5.581078299510268e-08,4.91787887012856e-10
blood_wbc_count,17,40811781,40818699,TUBG2,5.1912030230028e-11,5.79115633225769e-09
blood_wbc_count,17,56348106,56356502,MPO,1e-14,3.6865443801580095e-18
blood_wbc_count,18,60804334,60978979,BCL2,2.0930812416608543e-08,8.72615855129766e-08
blood_wbc_count,19,7831166,7831953,CLEC4M,6.721928980102376e-08,6.027945698150461e-09
blood_wbc_count,19,16697834,16735394,MED26,1e-14,6.52434902265454e-12
blood_wbc_count,19,45756763,45799910,MARK4,1e-14,5.76991225349711e-12
blood_wbc_count,2,28122890,28546682,BRE,1.417455042229676e-11,4.43859964964127e-11
blood_wbc_count,2,113041461,113067622,ZC3H6,3.1693501156837556e-09,3.35119356709157e-08
blood_wbc_count,2,160596043,160611167,MARCH7,1e-14,8.72835382337281e-11
blood_wbc_count,2,160634063,160742545,CD302,1e-14,2.71181067029655e-12
blood_wbc_count,3,128344786,128356279,RPN1,1.2545520178264267e-14,9.719334900226111e-15
blood_wbc_count,5,131639843,131671662,SLC22A4,3.998690267792426e-12,3.7175715058249795e-09
blood_wbc_count,5,131819800,131824486,IRF1,3.586020369539256e-13,2.31193670763216e-10
blood_wbc_count,6,26501897,26509382,BTN1A1,1e-14,8.62613979745375e-17
blood_wbc_count,6,27879200,27879982,OR2B2,1e-14,6.38290018617482e-08
blood_wbc_count,6,29640951,29644502,ZFP57,1e-14,2.48393951629817e-10
blood_wbc_count,6,29795636,29796327,HLA-G,1e-14,4.4517907946811e-09
blood_wbc_count,6,30071330,30080274,TRIM31,1e-14,6.10912487264414e-08
blood_wbc_count,6,30953105,30955929,MUC21,1e-14,6.10714554423229e-16
blood_wbc_count,6,31079242,31080016,C6orf15,1e-14,1.8466984507992905e-19
blood_wbc_count,6,31098832,31107648,PSORS1C1,1e-14,8.24556131835949e-17
blood_wbc_count,6,31110391,31125257,CCHCR1,1e-14,2.72877883948072e-51
blood_wbc_count,6,31469468,31477681,MICB,1e-14,1.7766881007626301e-19
blood_wbc_count,6,31496915,31497706,MCCD1,1e-14,2.83996698229043e-18
blood_wbc_count,6,31498497,31507834,DDX39B,1e-14,1.74119800357054e-23
blood_wbc_count,6,31513402,31514247,ATP6V1G2,1e-14,1.63308102720567e-159
blood_wbc_count,6,31515799,31525448,NFKBIL1,1e-14,1.45090257185588e-14
blood_wbc_count,6,31540556,31540784,LTA,1e-14,1.22611875804409e-16
blood_wbc_count,6,31583224,31583931,AIF1,1e-14,4.1809619953043604e-19
blood_wbc_count,6,31591808,31605199,PRRC2A,1e-14,3.94888174943241e-48
blood_wbc_count,6,31631334,31632134,GPANK1,1e-14,3.74889598635299e-17
blood_wbc_count,6,31674944,31678073,LY6G6F,1.376676550535194e-14,8.81848001307647e-16
blood_wbc_count,6,31708910,31728267,MSH5,1e-14,5.87973630661916e-50
blood_wbc_count,6,31731881,31732207,C6orf26,1e-14,2.7949339113351603e-42
blood_wbc_count,6,31736065,31741659,C6orf27,1e-14,6.243147257260509e-12
blood_wbc_count,6,31850332,31864674,EHMT2,1e-14,1.14369781073368e-39
blood_wbc_count,6,31868765,31912523,ZBTB12,4.2927883470156295e-12,2.989257960141e-31
blood_wbc_count,6,31915144,31918903,CFB,5.308317163610354e-08,2.8237249911378004e-10
blood_wbc_count,6,31928148,31937037,SKIV2L,1e-14,3.96305632246996e-26
blood_wbc_count,6,31937762,31939345,DOM3Z,1.3100631690576847e-14,2.37512413323374e-10
blood_wbc_count,6,32085278,32093922,ATF6B,1.286193374028244e-11,7.39707246382521e-17
blood_wbc_count,6,32121659,32130329,PPT2,1e-14,3.6238836236752e-32
blood_wbc_count,6,32134510,32135137,EGFL8,1e-14,1.24534350186505e-43
blood_wbc_count,6,32146492,32148031,RNF5,1e-14,1.3125231850759302e-44
blood_wbc_count,6,32149883,32151934,AGER,1e-14,8.13206109409998e-39
blood_wbc_count,6,32163274,32191457,NOTCH4,1e-14,3.86565747413783e-52
blood_wbc_count,6,32261507,32339076,C6orf10,1e-14,4.32275920495879e-53
blood_wbc_count,6,32605326,32609813,HLA-DQA1,1e-14,1.7563759521518199e-40
blood_wbc_count,6,32709964,32714143,HLA-DQA2,1e-14,3.78056633869362e-13
blood_wbc_count,6,32822186,32826450,PSMB9,4.746203430272544e-13,1.38114421271798e-10
blood_wbc_count,6,33269881,33280629,TAPBP,1e-14,9.92876387639813e-14
blood_wbc_count,7,6634333,6646145,C7orf26,4.50591464140615e-09,7.97381431993927e-08
blood_wbc_count,7,28461647,28856803,CREB5,1e-14,3.4029129126492e-11
bmd_heel_tscore,11,16001354,16419171,SOX6,4.395618546926272e-08,5.68880906221467e-09
bmd_heel_tscore,11,27389681,27490132,LGR4,3.47690876090212e-10,9.50707075313954e-10
bmd_heel_tscore,11,86789285,87013438,TMEM135,1e-14,5.46231798681518e-08
bmd_heel_tscore,12,49168798,49177113,ADCY6,1.2819834083188653e-10,6.16775620236167e-13
bmd_heel_tscore,16,342437,393342,AXIN1,1.0006578454735404e-08,3.02789120443236e-08
bmd_heel_tscore,16,67031481,67038140,CES4A,1.1009004818873793e-08,5.310643322023541e-09
bmd_heel_tscore,16,67319622,67322118,PLEKHG4,5.83874282256147e-10,1.08598950080118e-11
bmd_heel_tscore,17,41879074,41902083,MPP3,9.96722637758296e-09,8.46060641546131e-08
bmd_heel_tscore,17,58762945,59466118,BCAS3,1e-14,6.63721260174555e-08
bmd_heel_tscore,2,54353344,54528018,ACYP2,1e-14,1.63219715533876e-15
bmd_heel_tscore,2,54959757,55195330,EML6,3.3237856911227937e-12,1.83154599134858e-10
bmd_heel_tscore,20,10455168,10603750,C20orf94,2.7186263684697565e-08,5.65317610799373e-12
bmd_heel_tscore,20,10621213,10650354,JAG1,1.5165646516379638e-13,4.07808204634361e-13
bmd_heel_tscore,4,843508,925376,GAK,7.393252676735074e-11,4.656651127455599e-13
bmd_heel_tscore,4,975238,996165,SLC26A1,1e-14,2.34549200857883e-10
bmd_heel_tscore,4,1008212,1019011,FGFRL1,1e-14,3.48528396528731e-16
bmd_heel_tscore,4,1285263,1320357,MAEA,1.2162426621387112e-10,2.01823227231863e-13
bmd_heel_tscore,6,44808398,45515007,SUPT3H,1e-14,6.75334101973846e-08
bmd_heel_tscore,6,127444091,127507403,RSPO3,1e-14,9.762144912018212e-17
bmd_heel_tscore,6,133598239,133839213,EYA4,1e-14,5.45916334360186e-08
bmd_heel_tscore,6,151734061,151766822,RMND1,2.220446049250313e-14,4.44369455990857e-13
bmd_heel_tscore,6,151816054,151939181,C6orf97,1e-14,5.94579002089605e-28
bmd_heel_tscore,7,119921723,120372127,KCND2,5.508257183706178e-10,7.43809366535444e-10
bmd_heel_tscore,7,120430808,120476156,TSPAN12,1e-14,7.45908189965358e-14
bmd_heel_tscore,7,120641406,120926760,C7orf58,1e-14,4.908804409993269e-72
bmd_heel_tscore,7,120965562,120969412,WNT16,1e-14,1.55837250865489e-52
bmd_heel_tscore,7,121008925,121019520,FAM3C,1e-14,6.924167398407539e-40
bmd_heel_tscore,8,9913362,10277269,MSRA,1.0902390101819037e-13,4.69636922684202e-08
bmi,1,177902387,177937009,SEC16B,1e-14,4.5579721108524e-08
bmi,11,27389681,27490132,LGR4,1.0353162771536971e-10,3.65292459277971e-08
bmi,14,104027557,104028270,BAG5,2.0712542792011842e-11,2.70359723497648e-08
bmi,16,53749128,54137949,FTO,1e-14,2.51099388379276e-19
bmi,19,46179110,46182304,GIPR,1e-14,4.22493696811093e-21
bmi,2,25022598,25035709,CENPO,1.0880185641326534e-14,3.66972274790101e-08
bmi,2,25191843,25194741,DNAJC27,1e-14,2.97750152006775e-13
bmi,4,103174819,103262478,SLC39A8,1e-14,1.08283486381761e-12
bmi,5,88027278,88112542,MEF2C,6.217248937900878e-14,4.77786090266497e-12
bmi,6,31591808,31605199,PRRC2A,1.2034311214215164e-08,6.62445484015917e-08
bmi,6,31868765,31912523,ZBTB12,1.1087164075718192e-08,4.79704898026512e-08
bmi,6,31915144,31918903,CFB,4.167585831993392e-09,2.0502801789668e-08
bmi,6,31928148,31937037,SKIV2L,4.858629054638186e-10,3.22629233375302e-08
bmi,6,34761675,34839644,UHRF1BP1,4.07740508023835e-12,6.51392398178489e-13
bmi,6,50788262,50803050,TFAP2B,1e-14,3.51868239505993e-21
bmi,6,51483961,51947237,PKHD1,8.018674613197163e-11,6.68876376508365e-08
bmi,8,9913362,10277269,MSRA,1e-14,7.78845860208033e-12
bp_diastolic,1,11850750,11863057,MTHFR,1e-14,2.43370211578092e-18
bp_diastolic,1,153653250,153662423,NPR1,3.6481151433065406e-10,1.83139231701427e-10
bp_diastolic,12,111490653,111785515,CUX2,1.0782175152712624e-10,1.23607508110163e-08
bp_diastolic,12,112869780,112935344,PTPN11,3.086420008457935e-14,3.52089092882634e-10
bp_diastolic,15,69707451,69731500,KIF23,2.0144552692613612e-11,3.55466487901328e-12
bp_diastolic,16,82662523,83211887,CDH13,1.7175749489339864e-08,1.59186757284096e-09
bp_diastolic,20,10455168,10603750,C20orf94,1e-14,3.04879966530065e-09
bp_diastolic,6,31513402,31514247,ATP6V1G2,2.7222668563808843e-13,3.15701595313236e-15
bp_systolic,1,11850750,11863057,MTHFR,1e-14,1.03830323378237e-25
bp_systolic,1,153653250,153662423,NPR1,1.2723155862204294e-13,1.41963337630352e-14
bp_systolic,11,9803394,10268593,SBF2,1e-14,5.20659184655159e-08
bp_systolic,16,69844285,69970529,WWP2,2.3666585802217813e-08,3.34953283918388e-09
bp_systolic,2,37489796,37543593,PRKD3,6.94094626219055e-09,1.47926315010325e-08
c_reactive_prot,1,65733200,65875353,DNAJC6,1e-14,1.05781579723911e-26
c_reactive_prot,1,66040934,66102257,LEPR,1e-14,5.17382928665186e-18
c_reactive_prot,1,66379760,66838076,PDE4B,1e-14,6.93852499825269e-33
c_reactive_prot,1,153613477,153615958,CHTOP,4.450600099570323e-08,3.55182103728424e-08
c_reactive_prot,1,153784029,153794951,GATAD2B,1.1290524071227992e-10,1.76901025985679e-13
c_reactive_prot,1,154134557,154164139,TPM3,3.284261751446138e-12,2.77112221779553e-14
